individual	week	kit	KO	Abundance	module_id	group
92	12	qiagen	K05351	0.00528343033351411	M00014	DNR
84	13	mobio	K16190	8.57760246569192e-05	M00014	WT
96	13	mobio	K00240	0.553403099889154	M00009	WT
96	13	mobio	K00239	0.618808482674824	M00009	WT
96	13	mobio	K00246	0.0248530691865383	M00009	WT
96	13	mobio	K00245	0.0357101632397085	M00009	WT
96	13	mobio	K00244	0.28908195772383	M00009	WT
96	13	mobio	K00242	0.000367480127034314	M00009	WT
96	13	mobio	K00241	0.460338016150521	M00009	WT
96	13	mobio	K00164	0.0103760728675585	M00009	WT
96	13	mobio	K00012	1.10618621090652	M00014	WT
96	13	mobio	K00031	0.250233989101972	M00009	WT
96	13	mobio	K00030	0.0156979399012448	M00009	WT
96	13	mobio	K00026	0.000427021210908228	M00009	WT
96	13	mobio	K00025	0.00140187393634446	M00009	WT
96	13	mobio	K00024	0.86303814247002	M00009	WT
96	6	qiagen	K00012	1.17604755409216	M00014	WT
96	6	qiagen	K00030	0.00905105548924611	M00009	WT
96	6	qiagen	K00031	0.206001985227459	M00009	WT
96	6	qiagen	K00026	0.000203105351925433	M00009	WT
96	6	qiagen	K00024	0.89589859736267	M00009	WT
