individual	week	kit	KO	Abundance	module_id	group
96	10	qiagen	K00026	0	M00009	WT
96	12	qiagen	K00026	0	M00009	WT
73	5	mobio	K00242	0	M00009	DNR
92	6	qiagen	K00242	0	M00009	DNR
102	13	mobio	K00247	0	M00009	DNR
61	5	mobio	K00247	0	M00009	DNR
73	8	qiagen	K00247	0	M00009	DNR
73	10	qiagen	K00247	0	M00009	DNR
73	12	qiagen	K00247	0	M00009	DNR
75	5	mobio	K00247	0	M00009	WT
83	4	qiagen	K00247	0	M00009	DNR
83	6	qiagen	K00247	0	M00009	DNR
83	8	qiagen	K00247	0	M00009	DNR
83	12	qiagen	K00247	0	M00009	DNR
84	5	mobio	K00247	0	M00009	WT
90	4	qiagen	K00247	0	M00009	WT
90	12	qiagen	K00247	0	M00009	WT
96	4	qiagen	K00247	0	M00009	WT
96	8	qiagen	K00247	0	M00009	WT
96	10	qiagen	K00247	0	M00009	WT
96	13	mobio	K00247	0	M00009	WT
102	5	mobio	K01217	0	M00076	DNR
102	6	qiagen	K01217	0	M00076	DNR
102	12	qiagen	K01217	0	M00076	DNR
102	13	mobio	K01217	0	M00076	DNR
61	6	qiagen	K01217	0	M00076	DNR
73	6	qiagen	K01217	0	M00076	DNR
73	10	qiagen	K01217	0	M00076	DNR
75	4	qiagen	K01217	0	M00076	WT
75	6	qiagen	K01217	0	M00076	WT
75	12	qiagen	K01217	0	M00076	WT
83	8	qiagen	K01217	0	M00076	DNR
83	10	qiagen	K01217	0	M00076	DNR
90	4	qiagen	K01217	0	M00076	WT
90	6	qiagen	K01217	0	M00076	WT
90	13	mobio	K01217	0	M00076	WT
92	12	qiagen	K01900	0	M00009	DNR
102	13	mobio	K03219	0	M00332	DNR
90	12	qiagen	K03219	0	M00332	WT
102	5	mobio	K03221	0	M00332	DNR
102	12	qiagen	K03221	0	M00332	DNR
61	4	qiagen	K03221	0	M00332	DNR
61	5	mobio	K03221	0	M00332	DNR
61	8	qiagen	K03221	0	M00332	DNR
61	10	qiagen	K03221	0	M00332	DNR
75	5	mobio	K03221	0	M00332	WT
75	6	qiagen	K03221	0	M00332	WT
75	13	mobio	K03221	0	M00332	WT
83	5	mobio	K03221	0	M00332	DNR
83	8	qiagen	K03221	0	M00332	DNR
83	12	qiagen	K03221	0	M00332	DNR
84	6	qiagen	K03221	0	M00332	WT
84	12	qiagen	K03221	0	M00332	WT
90	4	qiagen	K03221	0	M00332	WT
90	5	mobio	K03221	0	M00332	WT
90	12	qiagen	K03221	0	M00332	WT
90	13	mobio	K03221	0	M00332	WT
92	5	mobio	K03221	0	M00332	DNR
92	13	mobio	K03221	0	M00332	DNR
96	5	mobio	K03221	0	M00332	WT
96	6	qiagen	K03221	0	M00332	WT
96	10	qiagen	K03221	0	M00332	WT
96	12	qiagen	K03221	0	M00332	WT
102	13	mobio	K03226	0	M00332	DNR
84	13	mobio	K03226	0	M00332	WT
102	6	qiagen	K03227	0	M00332	DNR
61	5	mobio	K03227	0	M00332	DNR
61	8	qiagen	K03227	0	M00332	DNR
61	10	qiagen	K03227	0	M00332	DNR
73	4	qiagen	K03227	0	M00332	DNR
75	4	qiagen	K03227	0	M00332	WT
75	5	mobio	K03227	0	M00332	WT
75	12	qiagen	K03227	0	M00332	WT
83	10	qiagen	K03227	0	M00332	DNR
83	12	qiagen	K03227	0	M00332	DNR
84	6	qiagen	K03227	0	M00332	WT
84	12	qiagen	K03227	0	M00332	WT
84	13	mobio	K03227	0	M00332	WT
90	5	mobio	K03227	0	M00332	WT
92	5	mobio	K03227	0	M00332	DNR
96	10	qiagen	K03227	0	M00332	WT
96	12	qiagen	K03227	0	M00332	WT
96	13	mobio	K03227	0	M00332	WT
102	5	mobio	K04056	0	M00332	DNR
102	6	qiagen	K04056	0	M00332	DNR
61	5	mobio	K04056	0	M00332	DNR
73	5	mobio	K04056	0	M00332	DNR
73	8	qiagen	K04056	0	M00332	DNR
73	12	qiagen	K04056	0	M00332	DNR
75	6	qiagen	K04056	0	M00332	WT
75	13	mobio	K04056	0	M00332	WT
83	6	qiagen	K04056	0	M00332	DNR
83	8	qiagen	K04056	0	M00332	DNR
84	6	qiagen	K04056	0	M00332	WT
84	12	qiagen	K04056	0	M00332	WT
84	13	mobio	K04056	0	M00332	WT
90	5	mobio	K04056	0	M00332	WT
90	6	qiagen	K04056	0	M00332	WT
90	12	qiagen	K04056	0	M00332	WT
92	12	qiagen	K04056	0	M00332	DNR
96	4	qiagen	K04056	0	M00332	WT
96	10	qiagen	K04056	0	M00332	WT
61	10	qiagen	K04057	0	M00332	DNR
61	13	mobio	K04057	0	M00332	DNR
73	5	mobio	K04057	0	M00332	DNR
75	4	qiagen	K04057	0	M00332	WT
75	10	qiagen	K04057	0	M00332	WT
75	12	qiagen	K04057	0	M00332	WT
75	13	mobio	K04057	0	M00332	WT
83	12	qiagen	K04057	0	M00332	DNR
83	13	mobio	K04057	0	M00332	DNR
84	12	qiagen	K04057	0	M00332	WT
90	12	qiagen	K04057	0	M00332	WT
92	12	qiagen	K04057	0	M00332	DNR
96	10	qiagen	K04057	0	M00332	WT
73	8	qiagen	K04058	0	M00332	DNR
84	13	mobio	K04058	0	M00332	WT
90	12	qiagen	K04058	0	M00332	WT
102	12	qiagen	K04059	0	M00332	DNR
102	13	mobio	K04059	0	M00332	DNR
61	6	qiagen	K04059	0	M00332	DNR
61	10	qiagen	K04059	0	M00332	DNR
61	13	mobio	K04059	0	M00332	DNR
73	6	qiagen	K04059	0	M00332	DNR
75	5	mobio	K04059	0	M00332	WT
75	6	qiagen	K04059	0	M00332	WT
75	12	qiagen	K04059	0	M00332	WT
75	13	mobio	K04059	0	M00332	WT
83	5	mobio	K04059	0	M00332	DNR
83	8	qiagen	K04059	0	M00332	DNR
84	13	mobio	K04059	0	M00332	WT
90	5	mobio	K04059	0	M00332	WT
90	8	qiagen	K04059	0	M00332	WT
92	12	qiagen	K04059	0	M00332	DNR
92	13	mobio	K04059	0	M00332	DNR
96	6	qiagen	K04059	0	M00332	WT
96	10	qiagen	K04059	0	M00332	WT
96	13	mobio	K04059	0	M00332	WT
102	6	qiagen	K12447	0	M00014	DNR
61	6	qiagen	K12447	0	M00014	DNR
61	8	qiagen	K12447	0	M00014	DNR
73	4	qiagen	K12447	0	M00014	DNR
73	5	mobio	K12447	0	M00014	DNR
75	4	qiagen	K12447	0	M00014	WT
75	5	mobio	K12447	0	M00014	WT
75	6	qiagen	K12447	0	M00014	WT
83	5	mobio	K12447	0	M00014	DNR
83	6	qiagen	K12447	0	M00014	DNR
83	8	qiagen	K12447	0	M00014	DNR
84	6	qiagen	K12447	0	M00014	WT
84	12	qiagen	K12447	0	M00014	WT
90	4	qiagen	K12447	0	M00014	WT
90	10	qiagen	K12447	0	M00014	WT
90	13	mobio	K12447	0	M00014	WT
92	6	qiagen	K12447	0	M00014	DNR
96	4	qiagen	K12447	0	M00014	WT
96	8	qiagen	K12447	0	M00014	WT
96	12	qiagen	K12447	0	M00014	WT
